timestamp,hour_of_day,download_mbps,upload_mbps,ping_ms,sample_type,status
2026-08-09T11:54:52.861759,11,0.0,0.0,332.55,PING,OK
2026-08-09T11:54:58.598151,11,0.0,0.0,313.34,PING,OK
2026-08-09T11:55:04.242952,11,0.0,0.0,322.7,PING,OK
2026-08-09T11:55:10.520632,11,0.0,0.0,852.09,PING,OK
2026-08-09T11:55:19.145207,11,0.0,0.0,3168.84,PING,OK
2026-08-09T11:55:25.187841,11,0.0,0.0,348.35,PING,OK
2026-08-09T11:55:30.958334,11,0.0,0.0,317.22,PING,OK
2026-08-09T11:55:36.958149,11,0.0,0.0,315.42,PING,OK
2026-08-09T11:55:44.389266,11,10.1,9.64,330.37,SPEED,CRITICAL
2026-08-09T11:55:50.192520,11,0.0,0.0,362.16,PING,OK
2026-08-09T11:55:56.009688,11,0.0,0.0,330.27,PING,OK
2026-08-09T11:56:01.658589,11,0.0,0.0,411.58,PING,OK
2026-08-09T11:56:07.244276,11,0.0,0.0,315.81,PING,OK
2026-08-09T11:56:12.950582,11,0.0,0.0,348.32,PING,OK
2026-08-09T11:56:18.766060,11,0.0,0.0,398.16,PING,OK
2026-08-09T11:56:24.502262,11,0.0,0.0,331.45,PING,OK
2026-08-09T11:56:30.091573,11,0.0,0.0,343.43,PING,OK
2026-08-09T11:56:35.905585,11,0.0,0.0,344.94,PING,OK
2026-08-09T11:56:41.947747,11,0.0,0.0,325.2,PING,OK
2026-08-09T11:57:01.957427,11,0.65,9.59,344.91,SPEED,CRITICAL
2026-08-09T11:57:07.564110,11,0.0,0.0,318.12,PING,OK
2026-08-09T11:57:13.452739,11,0.0,0.0,322.45,PING,OK
2026-08-09T11:57:19.527739,11,0.0,0.0,744.1,PING,OK
2026-08-09T11:57:25.566951,11,0.0,0.0,323.62,PING,OK
2026-08-09T11:57:31.254483,11,0.0,0.0,328.63,PING,OK
2026-08-09T11:57:37.037236,11,0.0,0.0,340.69,PING,OK
2026-08-09T11:57:42.919490,11,0.0,0.0,349.11,PING,OK
2026-08-09T11:57:51.348523,11,10.12,10.1,1002.31,SPEED,CRITICAL
2026-08-09T11:57:56.979205,11,0.0,0.0,326.8,PING,OK
2026-08-09T11:58:02.832894,11,0.0,0.0,336.56,PING,OK
2026-08-09T11:58:08.746798,11,0.0,0.0,351.79,PING,OK
2026-08-09T11:58:14.613277,11,0.0,0.0,343.68,PING,OK
2026-08-09T11:58:20.679009,11,0.0,0.0,355.77,PING,OK
2026-08-09T11:58:26.385192,11,0.0,0.0,335.81,PING,OK
2026-08-09T12:06:12.277812,12,10.41,9.32,373.99,SPEED,CRITICAL
